

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
057.925  001.279  000.146: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/opt/playground/plugin/nvim-treesitter-playground.lua
057.988  014.434  001.514: sourcing /home/j0rdi/.config/nvim/plugin/packer_compiled.lua
058.214  000.108  000.108: sourcing /usr/share/nvim/runtime/plugin/man.lua
058.228  001.255: loading rtp plugins
058.836  000.051  000.051: require('Comment.config')
059.204  000.130  000.130: require('Comment.ft')
059.208  000.369  000.239: require('Comment.utils')
059.306  000.097  000.097: require('Comment.opfunc')
059.368  000.059  000.059: require('Comment.extra')
059.371  000.761  000.184: require('Comment.api')
059.512  000.972  000.211: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/Comment.nvim/plugin/Comment.lua
059.795  000.028  000.028: require('luasnip.util.types')
059.866  000.069  000.069: require('luasnip.util.ext_opts')
060.206  000.031  000.031: require('luasnip.session')
060.212  000.296  000.265: require('luasnip.util.util')
060.214  000.345  000.049: require('luasnip.extras.filetype_functions')
060.272  000.631  000.189: require('luasnip.config')
060.312  000.748  000.117: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
060.920  000.259  000.259: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/copilot.vim/autoload/copilot.vim
060.947  000.474  000.215: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/copilot.vim/plugin/copilot.vim
061.680  000.197  000.197: require('indent_blankline/utils')
061.684  000.557  000.360: require('indent_blankline')
061.839  000.075  000.075: require('indent_blankline.commands')
061.888  000.804  000.172: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/indent-blankline.nvim/plugin/indent_blankline.vim
062.229  000.107  000.107: require('cmp.utils.api')
062.369  000.074  000.074: require('cmp.types.cmp')
062.656  000.152  000.152: require('cmp.utils.misc')
062.668  000.297  000.145: require('cmp.types.lsp')
062.730  000.060  000.060: require('cmp.types.vim')
062.732  000.500  000.069: require('cmp.types')
062.808  000.075  000.075: require('cmp.utils.highlight')
062.960  000.066  000.066: require('cmp.utils.debug')
062.967  000.157  000.091: require('cmp.utils.autocmd')
063.154  001.087  000.247: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
063.254  000.029  000.029: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/nvim-colorizer.lua/plugin/colorizer.lua
063.427  000.112  000.112: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.lua
063.527  000.022  000.022: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
